,subjects,models,rois,count,performance,count_all,pct
188,TZ,triphone,STG,25,0.009997394583479036,389,0.06426735218508997
189,TZ,single,STS,247,0.0212111616453737,710,0.34788732394366195
190,TZ,diphone,STS,424,0.01850466830541216,710,0.5971830985915493
191,TZ,triphone,STS,39,0.011309989541353925,710,0.054929577464788736
192,TZ,single,LTCunique,78,0.006549498187198948,260,0.3
193,TZ,diphone,LTCunique,140,0.008861723292732547,260,0.5384615384615384
194,TZ,triphone,LTCunique,42,0.008331659710555479,260,0.16153846153846155
195,TZ,single,Broca,46,0.013122655158282292,110,0.41818181818181815
196,TZ,diphone,Broca,61,0.015037285270931325,110,0.5545454545454546
197,TZ,triphone,Broca,3,0.011681290498624245,110,0.02727272727272727
